"Bank Name","SWIFT number","Website","Plaid Access Token","ID (Bank Transaction Mapping)","Field in Bank Transaction (Bank Transaction Mapping)","Column in Bank File (Bank Transaction Mapping)"
"HSBC Bank","","","","","",""
"U GRO Capital","","","","","",""
"Standard chartered investments and loans (india) limited","","","","","",""
"RBL Bank","","","","","",""
"Motilal Oswal Financial Services Ltd.","","","","","",""
"Kotak Prime Ltd.","","","","","",""
"IndusInd Bank","","","","","",""
"Indostar capital finance ltd","","","","","",""
"HDB Financial Services","","","","","",""
"Growth Source Financial Technologies Ltd.","","","","","",""
"Godrej Housing Finance Ltd.","","","","","",""
"Cholamandalam investment and finance company limited","","","","","",""
"Centrum Finance Ltd.","","","","","",""
"Arka Fincap Ltd.","","","","","",""
"Anand Rathi Financial Services Ltd.","","","","","",""
"Yes Bank","","","","","",""
"Tata Capital Financial Services Ltd.","","","","","",""
"Shriram Finance","","","","","",""
"Shinhan Bank","","","","","",""
"Standard Chartered Bank","","","","","",""
"State Bank of India","","","","","",""
"Punjab National bank housing finance","","","","","",""
"Mahindra Housing Finance","","","","","",""
"LIC","","","","","",""
"L & T HOUSING FINANCE","","","","","",""
"KOTAK BANK","","","","","",""
"JM FINANCE","","","","","",""
"JANA SMALL FINANCE","","","","","",""
"INDIABULLS HOUSING FINANCE","","","","","",""
"IIFL Financial Services","","","","","",""
"IDFC FIRST BANK","","","","","",""
"IDBI BANK","","","","","",""
"ICICI HOME FINANCE","","","","","",""
"ICICI BANK","","","","","",""
"HERO HOUSING FINANCE","","","","","",""
"HDFC LIMITED","","","","","",""
"FULLERTON INDIA","","","","","",""
"Edelweiss Financial Services Ltd.","","","","","",""
"DEUTSCHE BANK","","","","","",""
"DCB BANK","","","","","",""
"CITI BANK","","","","","",""
"BANK OF MAHARASHTRA","","","","","",""
"BANK OF BARODA","","","","","",""
"BAJAJ HOUSING FINANCE","","","","","",""
"AXIS BANK","","","","","",""
"AXIS FINANCE","","","","","",""
"AXIS ASHA","","","","","",""
"AWAS HOUSING FINANCE","","","","","",""
"Aditya Birla housing finance Ltd.","","","","","",""
"L&T Housing Finance Limited","","","","","",""
"Saral Home Finance Limited (Formerly, Vishwakriya Housing Finance Limited)","","","","","",""
"Sundaram BNP Paribas Home Finance Ltd.","","","","","",""
"REPCO Home Finance Ltd.","","","","","",""
"PNB Housing Finance Ltd.","","","","","",""
"National Trust Housing Finance Ltd.","","","","","",""
"Manipal Housing Finance Syndicate Ltd.","","","","","",""
"LIC Housing Finance Ltd.","","","","","",""
"Ind Bank Housing Ltd","","","","","",""
"ICICI Home Finance Company Ltd.","","","","","",""
"Housing Development Finance Corporation Ltd.","","","","","",""
"Housing and Urban Development Corporation Ltd.","","","","","",""
"GIC Housing Finance Ltd.","","","","","",""
"Aadhar Housing Finance Limited","","","","","",""
"Dewan Housing Finance Corporation Ltd.","","","","","",""
"Cent Bank Home Finance Limited","","","","","",""
"Can Fin Homes Limited","","","","","",""
"Indie Homefin Private Limited","","","","","",""
"Nanayasurabhi Affordable Housing Finance Limited","","","","","",""
"Capital India Home Loans Limited","","","","","",""
"Varashakti Housing Finance Private Limited","","","","","",""
"Sasvitha Home Finance Private Limited","","","","","",""
"Easy Home Finance Limited","","","","","",""
"Adani Housing Finance Private Limited","","","","","",""
"Wonder Home Finance Limited","","","","","",""
"APAC Housing Finance Private Limited","","","","","",""
"Baid Housing Finance Private Limited","","","","","",""
"Family Home Finance Private Limited","","","","","",""
"Roha Housing Finance Private Limited","","","","","",""
"IFL Housing Finance Limited","","","","","",""
"Hero Housing Finance Limited","","","","","",""
"Capri Global Housing Finance Limited","","","","","",""
"Khush Housing Finance Private Limited","","","","","",""
"IndoStar Home Finance Private Limited","","","","","",""
"Aviom India Housing Finance Private Limited","","","","","",""
"Nivara Home Finance Limited","","","","","",""
"Supreme Housing Finance Limited","","","","","",""
"Fullerton India Home Finance Company Limited","","","","","",""
"Fasttrack Housing Finance Limited","","","","","",""
"SEWA Grih Rin Limited","","","","","",""
"Mamta Housing Finance Company Private Limited","","","","","",""
"ART Housing Finance (India) Limited","","","","","",""
"Mentor Home Loans India Limited","","","","","",""
"Aditya Birla Housing Finance Limited","","","","","",""
"Muthoot Homefin (India) Limited","","","","","",""
"Aspire Home Finance Corporation Limited","","","","","",""
"VIVA Home Finance Limited","","","","","",""
"Capital First Home Finance Limited","","","","","",""
"DMI Housing Finance Private Limited","","","","","",""
"Homeshree Housing Finance Limited","","","","","",""
"Habitat Micro Build India Housing Finance Company Private Limited","","","","","",""
"New Habitat Housing Finance and Development Ltd.","","","","","",""
"Manappuram Home Finance Private Limited","","","","","",""
"Aavas Financiers Limited","","","","","",""
"Shriram Housing Finance Limited","","","","","",""
"Muthoot Housing Finance Company Limited.","","","","","",""
"Shubham Housing Development Finance Company Limited","","","","","",""
"Aham Housing Finance Private Limited","","","","","",""
"Home First Finance Company India Private Limited.","","","","","",""
"Aptus Value Housing Finance India Limited.","","","","","",""
"Satin Housing Finance Limited","","","","","",""
"Piramal Housing Finance Limited","","","","","",""
"Clix Housing Finance Private Limited","","","","","",""
"Aryarth Housing Finance Limited","","","","","",""
"Altum Credo Home Finance Private Limited","","","","","",""
"Navarathna Housing Finance Limited","","","","","",""
"Anand Housing Finance Private Limited","","","","","",""
"Manibhavnam Home Finance India Private Limited","","","","","",""
"Centrum Housing Finance Limited","","","","","",""
"KIFS Housing Finance Private Limited","","","","","",""
"Bee Secure Home Finance Private Limited","","","","","",""
"Essel Finance Home Loans Limited","","","","","",""
"JM Financial Home Loans Limited","","","","","",""
"Ummeed Housing Finance Private Limited","","","","","",""
"West End Housing Finance Limited","","","","","",""
"Five-Star Housing Finance Private Limited","","","","","",""
"IKF Housing Finance Private Limited","","","","","",""
"Lodha Housing Finance Private Limited","","","","","",""
"Hinduja Housing Finance Limited","","","","","",""
"Bajaj Housing Finance Limited","","","","","",""
"Edelweiss Housing Finance Limited.","","","","","",""
"North East Region Housing Finance Company Ltd.","","","","","",""
"Panthoibi Housing Finance Company Limited","","","","","",""
"Akme Star Housing Finance Limited","","","","","",""
"Swarna Pragati Housing Micro Finance Private Limited.","","","","","",""
"Tata Capital Housing Finance Limited(TCHFL)","","","","","",""
"IIFL Home Finance Limited","","","","","",""
"Reliance Home Finance Limited","","","","","",""
"Vastu Housing Finance Corporation Ltd.","","","","","",""
"Swagat Housing Finance Company Ltd.","","","","","",""
"SRG Housing Finance Ltd.","","","","","",""
"India Shelter Finance Corporation Limited","","","","","",""
"Sahara Housing finance Corporation Ltd.","","","","","",""
"Rose Valley Housing Development Finance Corporation Limited.","","","","","",""
"Orange City Housing Finance Limited.","","","","","",""
"Micro Housing Finance Corporation Ltd. (MHFCL)","","","","","",""
"MAS Rural Housing and Mortgage Finance Ltd.","","","","","",""
"Mahindra Rural Housing Finance Ltd","","","","","",""
"Religare Housing Development Finance Corporation Limited","","","","","",""
"India Home Loan Limited","","","","","",""
"Indiabulls Housing Finance Limited","","","","","",""
"Prosper Housing Finance Limited","","","","","",""
"Magma Housing Finance","","","","","",""
